category,name,serving_size,is_addon,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugar_g,protein_g,vitamin_a_pct_dv,vitamin_c_pct_dv,calcium_pct_dv,iron_pct_dv
Fresh Homemade Char-Grilled Hamburgers,Small 1/8 lb,3.2 oz (90.4 g),False,245,8,3,1,37,309,27,0,4,14,0,0,11,15
Fresh Homemade Char-Grilled Hamburgers,Regular 1/4 lb,4.4 oz (125 g),False,328,14,5,1,66,340,27,0,4,22,0,0,11,21
Fresh Homemade Char-Grilled Hamburgers,Huge 1/2 lb,7.2 oz (202.6 g),False,516,26,10,2,132,410,27,0,4,40,0,0,11,34
Fresh Homemade Char-Grilled Hamburgers,Big Double™,6.5 oz (184.5 g),False,311,13,4,1,60,126,27,0,4,20,0,0,0,20
Fresh Homemade Char-Grilled Hamburgers,Everything,2 oz (56.6 g),True,91,8,1,0,4,301,5,1,3,1,1,2,0,1
Fresh Homemade Char-Grilled Hamburgers,Cook Out® Style,4.5 oz (126.8 g),True,123,5,1,0,9,518,7,1,4,3,4,5,1,2
Fresh Homemade Char-Grilled Hamburgers,Out West Style,2.46 oz (69.6 g),True,202,18,5,0,26,682,4,0,2,8,1,3,0,0
Fresh Homemade Char-Grilled Hamburgers,Steak Style,2.6 oz (73.5 g),True,91,8,1,0,4,141,5,1,2,1,20,9,0,1
Fresh Homemade Char-Grilled Hamburgers,Cheddar Style,3 oz (85.5 g),True,233,20,5,0,28,729,5,0,1,8,0,2,1,0
Char-Grilled Chicken Breast,Char-Grilled Chicken Breast,6.67 oz (189.2 g),False,377,17,3,0,59,575,29,0,5,25,25,7,11,13
Char-Grilled Chicken Breast,Orginal Style,.21 oz (6 g),True,393,18,3,0,60,624,31,0,7,25,25,7,11,13
Char-Grilled Chicken Breast,Barbeque Style,0.8 oz (22.1 g),True,376,17,3,0,59,714,29,0,5,25,6,1,10,12
Char-Grilled Chicken Breast,Cajun Style,1.68 oz (47.8 g),True,377,0,0,0,0,155,1,0,0,0,2,2,0,0
Char-Grilled Chicken Breast,Club Style,2.9 oz (84 g),True,565,17,3,0,59,575,29,0,5,25,25,7,11,13
Char-Grilled Chicken Breast,Cheddar Style,3 oz (85.5 g),True,534,30,7,0,83,1245,32,0,5,33,5,2,11,12
Hot Crispy Spicy Chicken Breast Fillet,Spicy Chicken Breast,5.61 oz (159 g),False,446,18,3,0,39,1158,45,2,5,21,24,9,12,17
Hot Crispy Spicy Chicken Breast Fillet,Cheese Style,3 oz (85.5 g),True,634,35,10,0,81,1942,46,2,5,32,28,9,32,17
Chopped Pork Barbeque,Reg BBQ Sandwich,8.8 oz (249.5 g),False,368,12,3,0,66,1103,35,1,9,29,5,5,15,18
Chopped Pork Barbeque,BBQ Plate,17.3 oz (491.6 g),False,976,43,10,0,96,2445,105,10,21,35,6,19,21,29
Char-Grilled Hot Dogs,Hot Dog,2.9 oz (81 g),False,260,15,5,0,25,600,22,0,3,8,0,5,8,6
Char-Grilled Hot Dogs,Cook Out® Style Hot Dog,6.2 oz (176 g),False,383,20,6,0,34,1118,29,1,7,11,4,10,9,8
Char-Grilled Hot Dogs,Mexi Hot Dog,7.3 oz (207.8 g),False,385,19,6,0,36,1352,29,1,5,12,26,16,9,9
Char-Grilled Hot Dogs,Bacon Cheddar Hot Dog,4.62 oz (131 g),False,523,29,9,0,49,1494,47,0,6,19,0,5,17,12
Crispy Chicken Wraps,Cajun Wrap,6 oz (170 g),False,501,27,11,0,54,1285,44,2,0,25,5,0,35,10
Crispy Chicken Wraps,Ranch Wrap,6.1 oz (174.2 g),False,522,29,12,0,56,1273,44,2,0,25,5,0,35,10
Crispy Chicken Wraps,Honey Mustard Wrap,6.2 oz (175.2 g),False,517,28,11,0,55,1279,46,2,2,25,5,0,35,10
Homemade Style Chicken Strips,Chicken Strips (3),8.25 oz (234 g),False,660,33,5,0,60,2130,60,3,0,36,0,0,6,6
Homemade Style Chicken Strips,Chicken Strip Sandwich,11.6 oz (330 g),False,674,32,4,0,45,1804,71,2,7,28,20,7,14,13
Homemade Style Chicken Strips,Chicken Strip Club,1.45 oz (41 g),True,846,48,11,0,86,2539,70,2,5,39,24,7,34,13
Quesadillas,Cheese,3.5 oz (98.2 g),False,355,23,11,0,39,644,24,1,1,13,6,0,33,9
Quesadillas,Chicken,4.3 oz (123 g),False,449,28,12,0,54,788,31,1,2,19,12,2,36,12
Quesadillas,Beef,4.5 oz (126.5 g),False,514,29,13,0,63,845,42,1,3,22,6,0,40,19
Sides/Other Menu Items,Onion Rings,Full Order 4.9 oz (138 g),False,256,2,0,0,0,656,56,3,6,6,0,6,0,3
Sides/Other Menu Items,Onion Rings,Side 2.4 oz (69 g),False,128,1,0,0,0,328,28,2,3,3,0,3,0,2
Sides/Other Menu Items,Chicken Nuggets,Full Order 2.9 oz (81.7 g),False,240,18,4,0,95,540,12,0,0,16,0,0,0,8
Sides/Other Menu Items,Chicken Nuggets,Side 1.7 oz (49 g),False,144,11,2,0,57,324,7,0,0,10,0,0,0,5
Sides/Other Menu Items,BLT Sandwich,4.3 oz (123 g),False,392,25,7,0,37,1054,29,0,5,15,20,7,10,9
Sides/Other Menu Items,Bacon Ranch Wrap,2.62 oz (41 g),False,419,28,14,0,58,1047,24,1,0,20,5,0,33,8
Sides/Other Menu Items,Corn Dog,2.7 oz (76 g),False,220,11,4,0,20,440,26,0,7,5,0,2,2,6
Sides/Other Menu Items,Cheese Dog,2.3 oz (66 g),False,146,3,1,0,2,410,25,0,3,3,0,0,9,6
Sides/Other Menu Items,Mustard Relish Hot Dog,3.6 oz (102 g),False,394,16,5,0,25,1021,50,0,10,11,4,5,16,13
